💡📝🖥️🟢 Ah, good, we're entering 'action_check_dependancies'! Let's examine the raw materials, shall we? | main.py | 20250824.204206.2 Function: action_check_dependancies
💡📝🛠️🟢 New subscriber added for topic filter: 'conductor/test/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.add_subscriber
💡📝🛠️🟢 New subscriber added for topic filter: 'conductor/test/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: add_subscriber
💡📝🛠️🟢 New subscriber added for topic filter: 'conductor/test/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.add_subscriber
💡📝🖥️🟢 Initializing the Translator GUI. | tab_1_instrument/sub_tab_3_translator/gui_translator.py | 20250824.210000.8 Function: TranslatorGUI.__init__
💡📝🛠️🟢 New subscriber added for topic filter: 'OPEN-AIR/devices/scpi/COMMANDS/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: add_subscriber
💡📝🛠️🟢 New subscriber added for topic filter: 'OPEN-AIR/devices/scpi/COMMANDS/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.add_subscriber
💡📝❌🔴 Arrr, the code be capsized! The error be: No module named 'styling' | gui_display.py | 20250822.230500.2 Function: Application._build_child_container
💡📝🖥️🟢 Initializing a new GUI frame from the base class. The blueprint is in hand! | tab_2_markers/sub_tab_2_editor/gui_child_2_editor.py | 20250823.1500.20 Function: BaseGUIFrame.__init__
💡📝🛠️🟢 New subscriber added for topic filter: 'tab_2_markers/sub_tab_2_editor/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: add_subscriber
💡📝🛠️🟢 New subscriber added for topic filter: 'tab_2_markers/sub_tab_2_editor/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.add_subscriber
💡📝❌🔴 Arrr, the code be capsized! The error be: Module 'gui_child_1_pusher' needs a class that inherits from 'ttk.Frame' or a 'create_yo_button_frame' function. | gui_display.py | 20250822.230500.2 Function: Application._build_child_container
💡📝❌🔴 Arrr, the code be capsized! The error be: Module 'gui_child_2_editor' needs a class that inherits from 'ttk.Frame' or a 'create_yo_button_frame' function. | gui_display.py | 20250822.230500.2 Function: Application._build_child_container
💡📝🛠️🟢 New subscriber added for topic filter: 'conductor/test/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: add_subscriber
💡📝🛠️🟢 New subscriber added for topic filter: 'conductor/test/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.add_subscriber
💡📝🖥️🟢 Initializing a new GUI frame from the base class. The blueprint is in hand! | tab_4_intermod/sub_tab_1_calculator/gui_child_1_calculator.py | 20250823.1500.20 Function: BaseGUIFrame.__init__
💡📝🛠️🟢 New subscriber added for topic filter: 'tab_4_intermod/sub_tab_1_calculator/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: add_subscriber
💡📝🛠️🟢 New subscriber added for topic filter: 'tab_4_intermod/sub_tab_1_calculator/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.add_subscriber
💡📝🖥️🟢 Initializing a new GUI frame from the base class. The blueprint is in hand! | tab_4_intermod/sub_tab_2_future/gui_1_top.py | 20250823.1500.20 Function: BaseGUIFrame.__init__
💡📝🛠️🟢 New subscriber added for topic filter: 'tab_4_intermod/sub_tab_2_future/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: add_subscriber
💡📝🛠️🟢 New subscriber added for topic filter: 'tab_4_intermod/sub_tab_2_future/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.add_subscriber
💡📝🖥️🟢 Initializing a new GUI frame from the base class. The blueprint is in hand! | tab_4_intermod/sub_tab_2_future/gui_2_bottom copy.py | 20250823.1500.20 Function: BaseGUIFrame.__init__
💡📝🛠️🟢 New subscriber added for topic filter: 'tab_4_intermod/sub_tab_2_future/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: add_subscriber
💡📝🛠️🟢 New subscriber added for topic filter: 'tab_4_intermod/sub_tab_2_future/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.add_subscriber
💡📝🖥️🟢 Initializing a new GUI frame from the base class. The blueprint is in hand! | tab_4_intermod/sub_tab_2_future/gui_44_last.py | 20250823.1500.20 Function: BaseGUIFrame.__init__
💡📝🛠️🟢 New subscriber added for topic filter: 'tab_4_intermod/sub_tab_2_future/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: add_subscriber
💡📝🛠️🟢 New subscriber added for topic filter: 'tab_4_intermod/sub_tab_2_future/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.add_subscriber
💡📝🖥️🟢 Initializing a new GUI frame from the base class. The blueprint is in hand! | tab_5_sweeping/sub_tab_0_bands/gui_bands.py | 20250823.1500.20 Function: BaseGUIFrame.__init__
💡📝🛠️🟢 New subscriber added for topic filter: 'tab_5_sweeping/sub_tab_0_bands/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: add_subscriber
💡📝🛠️🟢 New subscriber added for topic filter: 'tab_5_sweeping/sub_tab_0_bands/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.add_subscriber
💡📝❌🔴 Arrr, the code be capsized! The error be: Module 'gui_configureation' needs a class that inherits from 'ttk.Frame' or a 'create_yo_button_frame' function. | gui_display.py | 20250822.230500.2 Function: Application._build_child_container
💡📝❌🔴 Arrr, the code be capsized! The error be: module 'tkinter' has no attribute 'frame' | gui_display.py | 20250822.230500.2 Function: Application._build_child_container
💡📝🖥️🟢 Initializing a new GUI frame from the base class. The blueprint is in hand! | tab_5_sweeping/sub_tab_2_statistical/gui_child_2_statistical.py | 20250823.1500.20 Function: BaseGUIFrame.__init__
💡📝🛠️🟢 New subscriber added for topic filter: 'tab_5_sweeping/sub_tab_2_statistical/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: add_subscriber
💡📝🛠️🟢 New subscriber added for topic filter: 'tab_5_sweeping/sub_tab_2_statistical/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.add_subscriber
💡📝🖥️🟢 Initializing a new GUI frame from the base class. The blueprint is in hand! | tab_6_graphing/sub_tab_1_from_file/gui_child1_from_file.py | 20250823.1500.20 Function: BaseGUIFrame.__init__
💡📝🛠️🟢 New subscriber added for topic filter: 'tab_6_graphing/sub_tab_1_from_file/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: add_subscriber
💡📝🛠️🟢 New subscriber added for topic filter: 'tab_6_graphing/sub_tab_1_from_file/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.add_subscriber
💡📝🖥️🟢 Initializing a new GUI frame from the base class. The blueprint is in hand! | tab_6_graphing/sub_tab_2_3d/gui_3d.py | 20250823.1500.20 Function: BaseGUIFrame.__init__
💡📝🛠️🟢 New subscriber added for topic filter: 'tab_6_graphing/sub_tab_2_3d/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: add_subscriber
💡📝🛠️🟢 New subscriber added for topic filter: 'tab_6_graphing/sub_tab_2_3d/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.add_subscriber
💡📝🖥️🟢 Initializing a new GUI frame from the base class. The blueprint is in hand! | tab_7_exepriment/sub_tab_1_mosquitto/gui_7_experiment.py | 20250823.1500.20 Function: BaseGUIFrame.__init__
💡📝🛠️🟢 New subscriber added for topic filter: 'tab_7_exepriment/sub_tab_1_mosquitto/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: add_subscriber
💡📝🛠️🟢 New subscriber added for topic filter: 'tab_7_exepriment/sub_tab_1_mosquitto/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.add_subscriber
💡📝🖥️🟢 Initializing a new GUI frame from the base class. The blueprint is in hand! | right_50/top_10/gui_start_pause_stop.py | 20250823.2115.1 Function: BaseGUIFrame.__init__
💡📝🛠️🟢 New subscriber added for topic filter: 'right_50/top_10/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: add_subscriber
💡📝🛠️🟢 New subscriber added for topic filter: 'right_50/top_10/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.add_subscriber
💡📝🖥️🟢 Initializing a new GUI frame from the base class. The blueprint is in hand! | bottom_90/tab_1_scan/gui_scan.py | 20250823.1500.22 Function: BaseGUIFrame.__init__
💡📝🖥️🟢 Initializing a new GUI frame from the base class. The blueprint is in hand! | bottom_90/tab_2_monitors/gui_monitor_1_top.py | 20250823.1500.21 Function: BaseGUIFrame.__init__
💡📝🖥️🟢 Initializing a new GUI frame from the base class. The blueprint is in hand! | bottom_90/tab_2_monitors/gui_monitor_2_middle.py | 20250823.195100.23 Function: BaseGUIFrame.__init__
💡📝🖥️🟢 Creating BaseGUIFrame widgets. | bottom_90/tab_2_monitors/gui_monitor_2_middle.py | 20250823.195100.23 Function: BaseGUIFrame._create_widgets
💡📝ScanViewTab widgets created. The placeholder is ready! | bottom_90/tab_2_monitors/gui_monitor_2_middle.py | 20250823.195100.23 Function: BaseGUIFrame._create_widgets
💡📝🖥️🟢 Initializing a new GUI frame from the base class. The blueprint is in hand! | bottom_90/tab_2_monitors/gui_monitor_3_bottom.py | 20250823.195100.23 Function: BaseGUIFrame.__init__
💡📝🖥️🟢 Creating BaseGUIFrame widgets. | bottom_90/tab_2_monitors/gui_monitor_3_bottom.py | 20250823.195100.23 Function: BaseGUIFrame._create_widgets
💡📝ScanViewTab widgets created. The placeholder is ready! | bottom_90/tab_2_monitors/gui_monitor_3_bottom.py | 20250823.195100.23 Function: BaseGUIFrame._create_widgets
💡📝🖥️🟢 Initializing a new GUI frame from the base class. The blueprint is in hand! | bottom_90/tab_3_debug/gui_tab_3_debug.py | 20250823.1500.20 Function: BaseGUIFrame.__init__
💡📝🛠️🟢 New subscriber added for topic filter: 'bottom_90/tab_3_debug/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: add_subscriber
💡📝🛠️🟢 New subscriber added for topic filter: 'bottom_90/tab_3_debug/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.add_subscriber
💡📝🐐🟢 Initializing the 'MqttConductorFrame' GUI frame. This one's a masterpiece of form over function! | display/right_40/bottom_90/tab_4_conductor/gui_mqtt_conductor.py | 20250824.204209.1 Function: MqttConductorFrame.__init__
💡📝🛠️🟢 New subscriber added for topic filter: '#'. | mqtt_controller_util.py | 20250823.123548.2 Function: add_subscriber
💡📝🛠️🟢 New subscriber added for topic filter: '#'. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.add_subscriber
💡📝🛠️🟢 New subscriber added for topic filter: '$SYS/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: add_subscriber
💡📝🛠️🟢 New subscriber added for topic filter: '$SYS/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.add_subscriber
💡📝❌🔴 Arrr, the code be capsized! The error be: debug_log() missing 1 required positional argument: 'console_print_func' | gui_display.py | 20250822.230500.2 Function: Application._build_child_container
💡📝🖥️🟢 Initializing a new GUI frame from the base class. The blueprint is in hand! | bottom_90/tab_6_prototype/gui_prototype.py | 20250823.1500.20 Function: BaseGUIFrame.__init__
💡📝🛠️🟢 New subscriber added for topic filter: 'bottom_90/tab_6_prototype/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: add_subscriber
💡📝🛠️🟢 New subscriber added for topic filter: 'bottom_90/tab_6_prototype/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.add_subscriber
💡📝🖥️🟢 Entering 'main' to publish JSON datasets. | OPEN-AIR/datasets/worker_dataset_publisher.py | 20250823.2015.2 Function: dataset_publisher.main
💡📝🔍🔵 Processing file: 'dataset_devices_amplifier_type.json' | OPEN-AIR/datasets/worker_dataset_publisher.py | 20250823.2015.2 Function: dataset_publisher.main
💡📝🔍🔵 Processing file: 'dataset_devices_antenna_type.json' | OPEN-AIR/datasets/worker_dataset_publisher.py | 20250823.2015.2 Function: dataset_publisher.main
💡📝🔍🔵 Processing file: 'dataset_devices_iem_mics_type.json' | OPEN-AIR/datasets/worker_dataset_publisher.py | 20250823.2015.2 Function: dataset_publisher.main
💡📝❌🔴 Arrr, the code be capsized! The error be: main thread is not in main loop | display/right_40/bottom_90/tab_4_conductor/gui_mqtt_conductor.py | 20250824.204209.1 Function: _on_sys_message
💡📝🔍🔵 Processing file: 'dataset_devices_scpi.json' | OPEN-AIR/datasets/worker_dataset_publisher.py | 20250823.2015.2 Function: dataset_publisher.main
💡📝🔍🔵 Processing file: 'dataset_devices_spectrumAnalyzer.json' | OPEN-AIR/datasets/worker_dataset_publisher.py | 20250823.2015.2 Function: dataset_publisher.main
💡📝🔍🔵 Processing file: 'dataset_file_paths.json' | OPEN-AIR/datasets/worker_dataset_publisher.py | 20250823.2015.2 Function: dataset_publisher.main
💡📝🔍🔵 Processing file: 'dataset_frequency_bands_ government.json' | OPEN-AIR/datasets/worker_dataset_publisher.py | 20250823.2015.2 Function: dataset_publisher.main
💡📝🔍🔵 Processing file: 'dataset_frequency_bands_interesting.json' | OPEN-AIR/datasets/worker_dataset_publisher.py | 20250823.2015.2 Function: dataset_publisher.main
💡📝🔍🔵 Processing file: 'dataset_frequency_bands_tv.json' | OPEN-AIR/datasets/worker_dataset_publisher.py | 20250823.2015.2 Function: dataset_publisher.main
💡📝🔍🔵 Processing file: 'dataset_program_configuration.json' | OPEN-AIR/datasets/worker_dataset_publisher.py | 20250823.2015.2 Function: dataset_publisher.main
💡📝🔍🔵 Processing file: 'dataset_program_constants.json' | OPEN-AIR/datasets/worker_dataset_publisher.py | 20250823.2015.2 Function: dataset_publisher.main
💡📝🔍🔵 Processing file: 'dataset_program_markers.json' | OPEN-AIR/datasets/worker_dataset_publisher.py | 20250823.2015.2 Function: dataset_publisher.main
💡📝❌🔴 Arrr, the code be capsized! The error be: main thread is not in main loop | display/right_40/bottom_90/tab_4_conductor/gui_mqtt_conductor.py | 20250824.204209.1 Function: _on_sys_message
💡📝🔍🔵 Processing file: 'dataset_program_presets.json' | OPEN-AIR/datasets/worker_dataset_publisher.py | 20250823.2015.2 Function: dataset_publisher.main
💡📝❌🔴 Arrr, the code be capsized! The error be: main thread is not in main loop | display/right_40/bottom_90/tab_4_conductor/gui_mqtt_conductor.py | 20250824.204209.1 Function: _on_sys_message
💡📝🔍🔵 Processing file: 'dataset_program_scanning.json' | OPEN-AIR/datasets/worker_dataset_publisher.py | 20250823.2015.2 Function: dataset_publisher.main
💡📝🔍🔵 Entering '_on_tab_change' to log a tab change. | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
💡📝📘🟢 Tab 'Instrument' selected! | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
💡📝🔍🔵 Entering '_on_tab_change' to log a tab change. | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
💡📝📘🔴 Tab 'Instrument' deselected! | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
💡📝📘🟢 Tab 'Connection' selected! | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
💡📝🔍🔵 Entering '_on_tab_change' to log a tab change. | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
💡📝📘🔴 Tab 'Connection' deselected! | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
💡📝📘🟢 Tab 'Frequency' selected! | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
💡📝🔍🔵 Entering '_on_tab_change' to log a tab change. | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
💡📝📘🔴 Tab 'Frequency' deselected! | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
💡📝📘🟢 Tab 'Showtime' selected! | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
💡📝🔍🔵 Entering '_on_tab_change' to log a tab change. | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
💡📝📘🔴 Tab 'Showtime' deselected! | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
💡📝📘🟢 Tab 'Pusher' selected! | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
💡📝🔍🔵 Entering '_on_tab_change' to log a tab change. | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
💡📝📘🔴 Tab 'Pusher' deselected! | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
💡📝📘🟢 Tab 'Calculator' selected! | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
💡📝🔍🔵 Entering '_on_tab_change' to log a tab change. | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
💡📝📘🔴 Tab 'Calculator' deselected! | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
💡📝📘🟢 Tab 'Bands' selected! | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
💡📝🔍🔵 Entering '_on_tab_change' to log a tab change. | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
💡📝📘🔴 Tab 'Bands' deselected! | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
💡📝📘🟢 Tab 'From File' selected! | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
💡📝🔍🔵 Entering '_on_tab_change' to log a tab change. | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
💡📝📘🔴 Tab 'From File' deselected! | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
💡📝📘🟢 Tab 'Mosquitto' selected! | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
💡📝🔍🔵 Entering '_on_tab_change' to log a tab change. | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
💡📝📘🔴 Tab 'Mosquitto' deselected! | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
💡📝📘🟢 Tab 'Scan' selected! | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
💡📝🖥️🔵 Received MQTT message on topic 'OPEN-AIR/devices/scpi/COMMANDS/AMPLITUDE/DO/ATTENUATION/POWER/0DB/ANY/ANY/default_value'. Processing message one-by-one... | tab_1_instrument/sub_tab_3_translator/gui_translator.py | 20250824.210000.8 Function: TranslatorGUI._on_commands_message
💡📝🛠️🔵 Processing single MQTT message. Buffering: 'OPEN-AIR/devices/scpi/COMMANDS/AMPLITUDE/DO/ATTENUATION/POWER/0DB/ANY/ANY/default_value' with payload '{"value": "\"0\""}' | worker_mqtt_data_flattening.py | 20250824.210000.5 Function: MqttDataFlattenerUtility.process_mqtt_message_and_pivot
💡📝🖥️🔵 Received MQTT message on topic 'OPEN-AIR/devices/scpi/COMMANDS/AMPLITUDE/DO/ATTENUATION/POWER/0DB/ANY/ANY/VISA_Command_value'. Processing message one-by-one... | tab_1_instrument/sub_tab_3_translator/gui_translator.py | 20250824.210000.8 Function: TranslatorGUI._on_commands_message
💡📝🛠️🔵 Processing single MQTT message. Buffering: 'OPEN-AIR/devices/scpi/COMMANDS/AMPLITUDE/DO/ATTENUATION/POWER/0DB/ANY/ANY/VISA_Command_value' with payload '{"value": "\":POWer:ATTenuation\""}' | worker_mqtt_data_flattening.py | 20250824.210000.5 Function: MqttDataFlattenerUtility.process_mqtt_message_and_pivot
💡📝🖥️🔵 Received MQTT message on topic 'OPEN-AIR/devices/scpi/COMMANDS/AMPLITUDE/DO/ATTENUATION/POWER/0DB/ANY/ANY/validated_value'. Processing message one-by-one... | tab_1_instrument/sub_tab_3_translator/gui_translator.py | 20250824.210000.8 Function: TranslatorGUI._on_commands_message
💡📝🛠️🔵 Processing single MQTT message. Buffering: 'OPEN-AIR/devices/scpi/COMMANDS/AMPLITUDE/DO/ATTENUATION/POWER/0DB/ANY/ANY/validated_value' with payload '{"value": "\"NOT YET\""}' | worker_mqtt_data_flattening.py | 20250824.210000.5 Function: MqttDataFlattenerUtility.process_mqtt_message_and_pivot
💡📝🛠️🔵 Rebuilding nested dictionary from path: ['OPEN-AIR', 'devices', 'scpi', 'COMMANDS', 'AMPLITUDE', 'DO', 'ATTENUATION', 'POWER', '0DB', 'ANY', 'ANY', 'default_value'] | worker_mqtt_data_flattening.py | 20250824.210000.5 Function: MqttDataFlattenerUtility._rebuild_nested_from_dict
💡📝🛠️🔵 Rebuilding nested dictionary from path: ['OPEN-AIR', 'devices', 'scpi', 'COMMANDS', 'AMPLITUDE', 'DO', 'ATTENUATION', 'POWER', '0DB', 'ANY', 'ANY', 'VISA_Command_value'] | worker_mqtt_data_flattening.py | 20250824.210000.5 Function: MqttDataFlattenerUtility._rebuild_nested_from_dict
💡📝🛠️🔵 Rebuilding nested dictionary from path: ['OPEN-AIR', 'devices', 'scpi', 'COMMANDS', 'AMPLITUDE', 'DO', 'ATTENUATION', 'POWER', '0DB', 'ANY', 'ANY', 'validated_value'] | worker_mqtt_data_flattening.py | 20250824.210000.5 Function: MqttDataFlattenerUtility._rebuild_nested_from_dict
💡📝🔍 Processed key 'OPEN-AIR/devices/scpi/COMMANDS/AMPLITUDE/DO/ATTENUATION/POWER/0DB/ANY/ANY/default_value/value'. Nodes: 13. Underscore found at depth: 11. Base topic: 'OPEN-AIR/devices/scpi/COMMANDS/AMPLITUDE/DO/ATTENUATION/POWER/0DB/ANY/ANY'. Column key: 'default_value/value'. | worker_mqtt_data_flattening.py | 20250824.210000.5 Function: MqttDataFlattenerUtility._pivot_flattened_data
💡📝🔍 Processed key 'OPEN-AIR/devices/scpi/COMMANDS/AMPLITUDE/DO/ATTENUATION/POWER/0DB/ANY/ANY/VISA_Command_value/value'. Nodes: 13. Underscore found at depth: 11. Base topic: 'OPEN-AIR/devices/scpi/COMMANDS/AMPLITUDE/DO/ATTENUATION/POWER/0DB/ANY/ANY'. Column key: 'VISA_Command_value/value'. | worker_mqtt_data_flattening.py | 20250824.210000.5 Function: MqttDataFlattenerUtility._pivot_flattened_data
💡📝🔍 Processed key 'OPEN-AIR/devices/scpi/COMMANDS/AMPLITUDE/DO/ATTENUATION/POWER/0DB/ANY/ANY/validated_value/value'. Nodes: 13. Underscore found at depth: 11. Base topic: 'OPEN-AIR/devices/scpi/COMMANDS/AMPLITUDE/DO/ATTENUATION/POWER/0DB/ANY/ANY'. Column key: 'validated_value/value'. | worker_mqtt_data_flattening.py | 20250824.210000.5 Function: MqttDataFlattenerUtility._pivot_flattened_data
💡📝📊 Final pivoted output returned to GUI: [
    {
        "Topic": "OPEN-AIR/devices/scpi/COMMANDS/AMPLITUDE/DO/ATTENUATION/POWER/0DB/ANY/ANY",
        "Parameter": "/AMPLITUDE/DO/ATTENUATION/POWER/0DB/ANY/ANY",
        "default_value/value": "\"0\"",
        "VISA_Command_value/value": "\":POWer:ATTenuation\"",
        "validated_value/value": "\"NOT YET\""
    }
] | worker_mqtt_data_flattening.py | 20250824.210000.5 Function: MqttDataFlattenerUtility._pivot_flattened_data
💡📝🖥️🔵 Received MQTT message on topic 'OPEN-AIR/devices/scpi/COMMANDS/AMPLITUDE/DO/ATTENUATION/POWER/10DB/ANY/ANY/default_value'. Processing message one-by-one... | tab_1_instrument/sub_tab_3_translator/gui_translator.py | 20250824.210000.8 Function: TranslatorGUI._on_commands_message
💡📝🛠️🔵 Processing single MQTT message. Buffering: 'OPEN-AIR/devices/scpi/COMMANDS/AMPLITUDE/DO/ATTENUATION/POWER/10DB/ANY/ANY/default_value' with payload '{"value": "\"10\""}' | worker_mqtt_data_flattening.py | 20250824.210000.5 Function: MqttDataFlattenerUtility.process_mqtt_message_and_pivot
💡📝🖥️🔵 Received MQTT message on topic 'OPEN-AIR/devices/scpi/COMMANDS/AMPLITUDE/DO/ATTENUATION/POWER/10DB/ANY/ANY/VISA_Command_value'. Processing message one-by-one... | tab_1_instrument/sub_tab_3_translator/gui_translator.py | 20250824.210000.8 Function: TranslatorGUI._on_commands_message
