💡📝🖥️🟢 Ah, good, we're entering 'action_check_dependancies'! Let's examine the raw materials, shall we? | main.py | 20250825.013130.2 Function: action_check_dependancies
💡📝🖥️🟢 Initializing the Preset Editor GUI. | tab_3_presets/sub_tab_2_editor/gui_preset_editor.py | 20250824.215521.1 Function: gui_preset_editor.__init__
💡📝🛠️🟢 New subscriber added for topic filter: 'OPEN-AIR/program/presets/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: add_subscriber
💡📝🛠️🟢 New subscriber added for topic filter: 'OPEN-AIR/program/presets/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.add_subscriber
💡📝🛠️🟢 New subscriber added for topic filter: 'conductor/test/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: add_subscriber
💡📝🛠️🟢 New subscriber added for topic filter: 'conductor/test/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.add_subscriber
💡📝🖥️🟢 Initializing a new GUI frame from the base class. The blueprint is in hand! | tab_4_intermod/sub_tab_1_calculator/gui_child_1_calculator.py | 20250823.1500.20 Function: BaseGUIFrame.__init__
💡📝🛠️🟢 New subscriber added for topic filter: 'tab_4_intermod/sub_tab_1_calculator/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: add_subscriber
💡📝🛠️🟢 New subscriber added for topic filter: 'tab_4_intermod/sub_tab_1_calculator/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.add_subscriber
💡📝🖥️🟢 Initializing a new GUI frame from the base class. The blueprint is in hand! | tab_4_intermod/sub_tab_2_future/gui_1_top.py | 20250823.1500.20 Function: BaseGUIFrame.__init__
💡📝🛠️🟢 New subscriber added for topic filter: 'tab_4_intermod/sub_tab_2_future/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: add_subscriber
💡📝🛠️🟢 New subscriber added for topic filter: 'tab_4_intermod/sub_tab_2_future/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.add_subscriber
💡📝🖥️🟢 Initializing a new GUI frame from the base class. The blueprint is in hand! | tab_4_intermod/sub_tab_2_future/gui_2_bottom copy.py | 20250823.1500.20 Function: BaseGUIFrame.__init__
💡📝🛠️🟢 New subscriber added for topic filter: 'tab_4_intermod/sub_tab_2_future/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: add_subscriber
💡📝🛠️🟢 New subscriber added for topic filter: 'tab_4_intermod/sub_tab_2_future/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.add_subscriber
💡📝🖥️🟢 Initializing a new GUI frame from the base class. The blueprint is in hand! | tab_4_intermod/sub_tab_2_future/gui_44_last.py | 20250823.1500.20 Function: BaseGUIFrame.__init__
💡📝🛠️🟢 New subscriber added for topic filter: 'tab_4_intermod/sub_tab_2_future/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: add_subscriber
💡📝🛠️🟢 New subscriber added for topic filter: 'tab_4_intermod/sub_tab_2_future/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.add_subscriber
💡📝🖥️🟢 Initializing a new GUI frame from the base class. The blueprint is in hand! | tab_5_sweeping/sub_tab_0_bands/gui_bands.py | 20250823.1500.20 Function: BaseGUIFrame.__init__
💡📝🛠️🟢 New subscriber added for topic filter: 'tab_5_sweeping/sub_tab_0_bands/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: add_subscriber
💡📝🛠️🟢 New subscriber added for topic filter: 'tab_5_sweeping/sub_tab_0_bands/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.add_subscriber
💡📝❌🔴 Arrr, the code be capsized! The error be: Module 'gui_configureation' needs a class that inherits from 'ttk.Frame' or a 'create_yo_button_frame' function. | gui_display.py | 20250822.230500.2 Function: Application._build_child_container
💡📝❌🔴 Arrr, the code be capsized! The error be: module 'tkinter' has no attribute 'frame' | gui_display.py | 20250822.230500.2 Function: Application._build_child_container
💡📝🖥️🟢 Initializing a new GUI frame from the base class. The blueprint is in hand! | tab_5_sweeping/sub_tab_2_statistical/gui_child_2_statistical.py | 20250823.1500.20 Function: BaseGUIFrame.__init__
💡📝🛠️🟢 New subscriber added for topic filter: 'tab_5_sweeping/sub_tab_2_statistical/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: add_subscriber
💡📝🛠️🟢 New subscriber added for topic filter: 'tab_5_sweeping/sub_tab_2_statistical/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.add_subscriber
💡📝🖥️🟢 Initializing a new GUI frame from the base class. The blueprint is in hand! | tab_6_graphing/sub_tab_1_from_file/gui_child1_from_file.py | 20250823.1500.20 Function: BaseGUIFrame.__init__
💡📝🛠️🟢 New subscriber added for topic filter: 'tab_6_graphing/sub_tab_1_from_file/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: add_subscriber
💡📝🛠️🟢 New subscriber added for topic filter: 'tab_6_graphing/sub_tab_1_from_file/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.add_subscriber
💡📝🖥️🟢 Initializing a new GUI frame from the base class. The blueprint is in hand! | tab_6_graphing/sub_tab_2_3d/gui_3d.py | 20250823.1500.20 Function: BaseGUIFrame.__init__
💡📝🛠️🟢 New subscriber added for topic filter: 'tab_6_graphing/sub_tab_2_3d/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: add_subscriber
💡📝🛠️🟢 New subscriber added for topic filter: 'tab_6_graphing/sub_tab_2_3d/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.add_subscriber
💡📝🖥️🟢 Initializing a new GUI frame from the base class. The blueprint is in hand! | tab_7_exepriment/sub_tab_1_mosquitto/gui_7_experiment.py | 20250823.1500.20 Function: BaseGUIFrame.__init__
💡📝🛠️🟢 New subscriber added for topic filter: 'tab_7_exepriment/sub_tab_1_mosquitto/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: add_subscriber
💡📝🛠️🟢 New subscriber added for topic filter: 'tab_7_exepriment/sub_tab_1_mosquitto/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.add_subscriber
💡📝🖥️🟢 Initializing a new GUI frame from the base class. The blueprint is in hand! | right_50/top_10/gui_start_pause_stop.py | 20250823.2115.1 Function: BaseGUIFrame.__init__
💡📝🛠️🟢 New subscriber added for topic filter: 'right_50/top_10/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: add_subscriber
💡📝🛠️🟢 New subscriber added for topic filter: 'right_50/top_10/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.add_subscriber
💡📝🖥️🟢 Initializing a new GUI frame from the base class. The blueprint is in hand! | bottom_90/tab_1_scan/gui_scan.py | 20250823.1500.22 Function: BaseGUIFrame.__init__
💡📝🖥️🟢 Initializing a new GUI frame from the base class. The blueprint is in hand! | bottom_90/tab_2_monitors/gui_monitor_1_top.py | 20250823.1500.21 Function: BaseGUIFrame.__init__
💡📝🖥️🟢 Initializing a new GUI frame from the base class. The blueprint is in hand! | bottom_90/tab_2_monitors/gui_monitor_2_middle.py | 20250823.195100.23 Function: BaseGUIFrame.__init__
💡📝🖥️🟢 Creating BaseGUIFrame widgets. | bottom_90/tab_2_monitors/gui_monitor_2_middle.py | 20250823.195100.23 Function: BaseGUIFrame._create_widgets
💡📝ScanViewTab widgets created. The placeholder is ready! | bottom_90/tab_2_monitors/gui_monitor_2_middle.py | 20250823.195100.23 Function: BaseGUIFrame._create_widgets
💡📝🖥️🟢 Initializing a new GUI frame from the base class. The blueprint is in hand! | bottom_90/tab_2_monitors/gui_monitor_3_bottom.py | 20250823.195100.23 Function: BaseGUIFrame.__init__
💡📝🖥️🟢 Creating BaseGUIFrame widgets. | bottom_90/tab_2_monitors/gui_monitor_3_bottom.py | 20250823.195100.23 Function: BaseGUIFrame._create_widgets
💡📝ScanViewTab widgets created. The placeholder is ready! | bottom_90/tab_2_monitors/gui_monitor_3_bottom.py | 20250823.195100.23 Function: BaseGUIFrame._create_widgets
💡📝🖥️🟢 Initializing a new GUI frame from the base class. The blueprint is in hand! | bottom_90/tab_3_debug/gui_tab_3_debug.py | 20250823.1500.20 Function: BaseGUIFrame.__init__
💡📝🛠️🟢 New subscriber added for topic filter: 'bottom_90/tab_3_debug/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: add_subscriber
💡📝🛠️🟢 New subscriber added for topic filter: 'bottom_90/tab_3_debug/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.add_subscriber
💡📝🐐🟢 Initializing the 'MqttConductorFrame' GUI frame. This one's a masterpiece of form over function! | display/right_40/bottom_90/tab_4_conductor/gui_mqtt_conductor.py | 20250825.013133.1 Function: MqttConductorFrame.__init__
💡📝🛠️🟢 New subscriber added for topic filter: '#'. | mqtt_controller_util.py | 20250823.123548.2 Function: add_subscriber
💡📝🛠️🟢 New subscriber added for topic filter: '#'. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.add_subscriber
💡📝🛠️🟢 New subscriber added for topic filter: '$SYS/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: add_subscriber
💡📝🛠️🟢 New subscriber added for topic filter: '$SYS/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.add_subscriber
💡📝❌🔴 Arrr, the code be capsized! The error be: debug_log() missing 1 required positional argument: 'console_print_func' | gui_display.py | 20250822.230500.2 Function: Application._build_child_container
💡📝🖥️🟢 Initializing a new GUI frame from the base class. The blueprint is in hand! | bottom_90/tab_6_prototype/gui_prototype.py | 20250823.1500.20 Function: BaseGUIFrame.__init__
💡📝🛠️🟢 New subscriber added for topic filter: 'bottom_90/tab_6_prototype/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: add_subscriber
💡📝🛠️🟢 New subscriber added for topic filter: 'bottom_90/tab_6_prototype/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.add_subscriber
💡📝🖥️🟢 Entering 'main' to publish JSON datasets. | OPEN-AIR/datasets/worker_dataset_publisher.py | 20250823.2015.2 Function: dataset_publisher.main
💡📝🔍🔵 Processing file: 'dataset_devices_amplifier_type.json' | OPEN-AIR/datasets/worker_dataset_publisher.py | 20250823.2015.2 Function: dataset_publisher.main
💡📝🔍🔵 Processing file: 'dataset_devices_antenna_type.json' | OPEN-AIR/datasets/worker_dataset_publisher.py | 20250823.2015.2 Function: dataset_publisher.main
💡📝🔍🔵 Processing file: 'dataset_devices_iem_mics_type.json' | OPEN-AIR/datasets/worker_dataset_publisher.py | 20250823.2015.2 Function: dataset_publisher.main
💡📝❌🔴 Arrr, the code be capsized! The error be: Publish topic cannot contain wildcards. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.publish_message
💡📝❌🔴 Arrr, the code be capsized! The error be: Publish topic cannot contain wildcards. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.publish_message
💡📝❌🔴 Arrr, the code be capsized! The error be: Publish topic cannot contain wildcards. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.publish_message
💡📝❌🔴 Arrr, the code be capsized! The error be: Publish topic cannot contain wildcards. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.publish_message
💡📝❌🔴 Arrr, the code be capsized! The error be: Publish topic cannot contain wildcards. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.publish_message
💡📝❌🔴 Arrr, the code be capsized! The error be: Publish topic cannot contain wildcards. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.publish_message
💡📝❌🔴 Arrr, the code be capsized! The error be: Publish topic cannot contain wildcards. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.publish_message
💡📝❌🔴 Arrr, the code be capsized! The error be: Publish topic cannot contain wildcards. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.publish_message
💡📝❌🔴 Arrr, the code be capsized! The error be: Publish topic cannot contain wildcards. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.publish_message
💡📝❌🔴 Arrr, the code be capsized! The error be: Publish topic cannot contain wildcards. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.publish_message
💡📝❌🔴 Arrr, the code be capsized! The error be: Publish topic cannot contain wildcards. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.publish_message
💡📝❌🔴 Arrr, the code be capsized! The error be: Publish topic cannot contain wildcards. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.publish_message
💡📝❌🔴 Arrr, the code be capsized! The error be: Publish topic cannot contain wildcards. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.publish_message
💡📝❌🔴 Arrr, the code be capsized! The error be: Publish topic cannot contain wildcards. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.publish_message
💡📝❌🔴 Arrr, the code be capsized! The error be: Publish topic cannot contain wildcards. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.publish_message
💡📝❌🔴 Arrr, the code be capsized! The error be: Publish topic cannot contain wildcards. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.publish_message
💡📝❌🔴 Arrr, the code be capsized! The error be: Publish topic cannot contain wildcards. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.publish_message
💡📝❌🔴 Arrr, the code be capsized! The error be: Publish topic cannot contain wildcards. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.publish_message
💡📝❌🔴 Arrr, the code be capsized! The error be: Publish topic cannot contain wildcards. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.publish_message
💡📝❌🔴 Arrr, the code be capsized! The error be: Publish topic cannot contain wildcards. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.publish_message
💡📝❌🔴 Arrr, the code be capsized! The error be: Publish topic cannot contain wildcards. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.publish_message
💡📝❌🔴 Arrr, the code be capsized! The error be: Publish topic cannot contain wildcards. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.publish_message
💡📝❌🔴 Arrr, the code be capsized! The error be: Publish topic cannot contain wildcards. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.publish_message
💡📝❌🔴 Arrr, the code be capsized! The error be: Publish topic cannot contain wildcards. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.publish_message
💡📝❌🔴 Arrr, the code be capsized! The error be: Publish topic cannot contain wildcards. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.publish_message
💡📝❌🔴 Arrr, the code be capsized! The error be: Publish topic cannot contain wildcards. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.publish_message
💡📝❌🔴 Arrr, the code be capsized! The error be: Publish topic cannot contain wildcards. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.publish_message
💡📝❌🔴 Arrr, the code be capsized! The error be: Publish topic cannot contain wildcards. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.publish_message
💡📝❌🔴 Arrr, the code be capsized! The error be: Publish topic cannot contain wildcards. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.publish_message
💡📝❌🔴 Arrr, the code be capsized! The error be: Publish topic cannot contain wildcards. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.publish_message
💡📝❌🔴 Arrr, the code be capsized! The error be: Publish topic cannot contain wildcards. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.publish_message
💡📝❌🔴 Arrr, the code be capsized! The error be: Publish topic cannot contain wildcards. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.publish_message
💡📝❌🔴 Arrr, the code be capsized! The error be: Publish topic cannot contain wildcards. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.publish_message
💡📝❌🔴 Arrr, the code be capsized! The error be: Publish topic cannot contain wildcards. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.publish_message
💡📝❌🔴 Arrr, the code be capsized! The error be: Publish topic cannot contain wildcards. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.publish_message
💡📝❌🔴 Arrr, the code be capsized! The error be: Publish topic cannot contain wildcards. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.publish_message
💡📝❌🔴 Arrr, the code be capsized! The error be: Publish topic cannot contain wildcards. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.publish_message
💡📝❌🔴 Arrr, the code be capsized! The error be: Publish topic cannot contain wildcards. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.publish_message
💡📝❌🔴 Arrr, the code be capsized! The error be: Publish topic cannot contain wildcards. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.publish_message
💡📝❌🔴 Arrr, the code be capsized! The error be: Publish topic cannot contain wildcards. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.publish_message
💡📝❌🔴 Arrr, the code be capsized! The error be: Publish topic cannot contain wildcards. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.publish_message
💡📝❌🔴 Arrr, the code be capsized! The error be: Publish topic cannot contain wildcards. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.publish_message
💡📝❌🔴 Arrr, the code be capsized! The error be: Publish topic cannot contain wildcards. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.publish_message
💡📝❌🔴 Arrr, the code be capsized! The error be: Publish topic cannot contain wildcards. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.publish_message
💡📝❌🔴 Arrr, the code be capsized! The error be: Publish topic cannot contain wildcards. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.publish_message
💡📝❌🔴 Arrr, the code be capsized! The error be: Publish topic cannot contain wildcards. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.publish_message
💡📝❌🔴 Arrr, the code be capsized! The error be: Publish topic cannot contain wildcards. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.publish_message
💡📝❌🔴 Arrr, the code be capsized! The error be: Publish topic cannot contain wildcards. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.publish_message
💡📝❌🔴 Arrr, the code be capsized! The error be: Publish topic cannot contain wildcards. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.publish_message
💡📝❌🔴 Arrr, the code be capsized! The error be: Publish topic cannot contain wildcards. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.publish_message
💡📝❌🔴 Arrr, the code be capsized! The error be: Publish topic cannot contain wildcards. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.publish_message
💡📝❌🔴 Arrr, the code be capsized! The error be: Publish topic cannot contain wildcards. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.publish_message
💡📝❌🔴 Arrr, the code be capsized! The error be: Publish topic cannot contain wildcards. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.publish_message
💡📝❌🔴 Arrr, the code be capsized! The error be: Publish topic cannot contain wildcards. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.publish_message
💡📝❌🔴 Arrr, the code be capsized! The error be: Publish topic cannot contain wildcards. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.publish_message
💡📝❌🔴 Arrr, the code be capsized! The error be: main thread is not in main loop | display/right_40/bottom_90/tab_4_conductor/gui_mqtt_conductor.py | 20250825.013133.1 Function: _on_sys_message
💡📝🔍🔵 Processing file: 'dataset_devices_scpi.json' | OPEN-AIR/datasets/worker_dataset_publisher.py | 20250823.2015.2 Function: dataset_publisher.main
💡📝🔍🔵 Processing file: 'dataset_devices_spectrumAnalyzer.json' | OPEN-AIR/datasets/worker_dataset_publisher.py | 20250823.2015.2 Function: dataset_publisher.main
💡📝🔍🔵 Processing file: 'dataset_file_paths.json' | OPEN-AIR/datasets/worker_dataset_publisher.py | 20250823.2015.2 Function: dataset_publisher.main
💡📝🔍🔵 Processing file: 'dataset_frequency_bands_ government.json' | OPEN-AIR/datasets/worker_dataset_publisher.py | 20250823.2015.2 Function: dataset_publisher.main
💡📝🔍🔵 Processing file: 'dataset_frequency_bands_interesting.json' | OPEN-AIR/datasets/worker_dataset_publisher.py | 20250823.2015.2 Function: dataset_publisher.main
💡📝🔍🔵 Processing file: 'dataset_frequency_bands_tv.json' | OPEN-AIR/datasets/worker_dataset_publisher.py | 20250823.2015.2 Function: dataset_publisher.main
💡📝🔍🔵 Processing file: 'dataset_program_configuration.json' | OPEN-AIR/datasets/worker_dataset_publisher.py | 20250823.2015.2 Function: dataset_publisher.main
💡📝🔍🔵 Processing file: 'dataset_program_constants.json' | OPEN-AIR/datasets/worker_dataset_publisher.py | 20250823.2015.2 Function: dataset_publisher.main
💡📝🔍🔵 Processing file: 'dataset_program_markers.json' | OPEN-AIR/datasets/worker_dataset_publisher.py | 20250823.2015.2 Function: dataset_publisher.main
💡📝❌🔴 Arrr, the code be capsized! The error be: main thread is not in main loop | display/right_40/bottom_90/tab_4_conductor/gui_mqtt_conductor.py | 20250825.013133.1 Function: _on_sys_message
💡📝🔍🔵 Processing file: 'dataset_program_presets.json' | OPEN-AIR/datasets/worker_dataset_publisher.py | 20250823.2015.2 Function: dataset_publisher.main
💡📝❌🔴 Arrr, the code be capsized! The error be: main thread is not in main loop | display/right_40/bottom_90/tab_4_conductor/gui_mqtt_conductor.py | 20250825.013133.1 Function: _on_sys_message
💡📝🔍🔵 Processing file: 'dataset_program_scanning.json' | OPEN-AIR/datasets/worker_dataset_publisher.py | 20250823.2015.2 Function: dataset_publisher.main
💡📝🔍🔵 Entering '_on_tab_change' to log a tab change. | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
