ZONE,GROUP,DEVICE,NAME,FREQ_MHZ,PEAK
10.ST.41.ROGERS.ENG.20,,Sony - DWR-S02DN - TV22-25,DSQENG-3,,
10.ST.41.ROGERS.ENG.20,,Sony - DWR-S02DN - TV22-25,DSQENG-4,,
10.ST.41.ROGERS.ENG.20,,Sony - DWR-S02DN - TV22-25,OMPENG-3,,
10.ST.41.ROGERS.ENG.20,,Sony - DWR-S02DN - TV22-25,OMPENG-2,,
10.ST.41.ROGERS.ENG.20,,Sony - DWR-S02DN - TV22-25,OMPENG-4,,
10.ST.41.ROGERS.ENG.20,,Sony - DWR-S02DN - TV22-25,OMPENG-1,,
01.STUDIO.55.FLOOR.K,,Sony - DWR-R02DN - 42,Sony Mic 1,,
01.STUDIO.55.FLOOR.K,,Sony - DWR-R02DN - 42,Sony Mic 3,,
01.STUDIO.55.FLOOR.K,,Sony - DWR-R02DN - 42,Sony Mic 5,,
01.STUDIO.55.FLOOR.K,,Sony - DWR-R02DN - 42,Sony Mic 7,,
01.STUDIO.55.FLOOR.K,,Sony - DWR-R02DN - 42,Sony Mic 2,,
01.STUDIO.55.FLOOR.K,,Sony - DWR-R02DN - 42,Sony Mic 4,,
01.STUDIO.55.FLOOR.K,,Sony - DWR-R02DN - 42,Sony Mic 6,,
01.STUDIO.55.FLOOR.K,,Sony - DWR-R02DN - 43,Sony Mic 8,,
04.ST.50.FLOOR.A.NEWSNET,,Sennheiser - EM 3732-II - L,Sennheiser - MIC 1,,
04.ST.50.FLOOR.A.NEWSNET,,Sennheiser - EM 3732-II - L,Sennheiser - MIC 2,,
04.ST.50.FLOOR.A.NEWSNET,,Sennheiser - EM 3732-II - L,Sennheiser - MIC 3,,
04.ST.50.FLOOR.A.NEWSNET,,Sennheiser - EM 3732-II - L,Sennheiser - MIC 4,,
04.ST.50.FLOOR.A.NEWSNET,,Sennheiser - EM 3732-II - L,Sennheiser - MIC 5,,
04.ST.50.FLOOR.A.NEWSNET,,Sennheiser - EM 3732-II - L,Sennheiser - MIC 6,,
04.ST.50.FLOOR.A.NEWSNET,,Sennheiser - EM 3732-II - L,Sennheiser - MIC 7,,
04.ST.50.FLOOR.A.NEWSNET,,Sennheiser - EM 3732-II - L,Sennheiser - MIC 8,,
04.ST.53.FLOOR.B.FISHBOWL,,None - None - L,,,
04.ST.53.FLOOR.B.FISHBOWL,,None - None - L,,,
04.ST.53.FLOOR.B.FISHBOWL,,None - None - L,,,
04.ST.53.FLOOR.B.FISHBOWL,,None - None - L,,,
04.ST.53.FLOOR.B.FISHBOWL,,Sennheiser - SR 2050 - Bw,Sennheiser,,
04.ST.53.FLOOR.B.FISHBOWL,,Sennheiser - SR 2050 - Bw,Sennheiser,,
04.ST.53.FLOOR.B.FISHBOWL,,Sennheiser - SR 2050 - Bw,Sennheiser,,
04.ST.53.FLOOR.B.FISHBOWL,,Sennheiser - SR 2050 - Bw,Sennheiser,,
06.ST.38.WEATHER CENTER,,Sennheiser - EM 3732-II - L,Sennheiser,,
06.ST.38.WEATHER CENTER,,Sennheiser - EM 3732-II - L,Sennheiser,,
06.ST.211.RADIO RECORDING,,Shure - PSM900 - G6,IEM - MOB 1,,
06.ST.211.RADIO RECORDING,,Shure - PSM900 - G6,IEM - MOB 2,,
06.ST.38.WEATHER CENTER,,Sennheiser - SR 2000 - Aw,Sennheiser,,
06.ST.211.RADIO RECORDING,,Shure - ULXD4 - G50,IN RACK,,
06.ST.211.RADIO RECORDING,,Shure - PSM900 - G6,IN RACK,,
06.ST.211.RADIO RECORDING,,Shure - ULXD4 - G50,MOBILE 1,,
06.ST.211.RADIO RECORDING,,Shure - ULXD4 - G50,MOBILE 2,,
04.WB13.ST.F.LOCAL NEWS,,Sennheiser - EM 3732-II - L,Sennheiser - MIC 1 - PRI,,
04.WB13.ST.F.LOCAL NEWS,,Sennheiser - EM 3732-II - L,Sennheiser - MIC 1 - BKUP,,
04.WB13.ST.F.LOCAL NEWS,,Sennheiser - EM 3732-II - L,Sennheiser - MIC 2,,
04.WB13.ST.F.LOCAL NEWS,,Sennheiser - EM 3732-II - L,Sennheiser - MIC 3,,
10.CONF.ARTIST LOUNGE,,Shure - SLX_master_list - G5,Shure - MIC 1,,
10.CONF.ARTIST LOUNGE,,Shure - SLX_master_list - G5,Shure - MIC 2,,
10.CONF.ARTIST LOUNGE,,Shure - SLX_master_list - G5,Shure - MIC 3,,
10.CONF.ARTIST LOUNGE,,Shure - SLX_master_list - G5,Shure - MIC 4,,
05.ST.54.FLOOR.E.SRC NEWS,,Sony - DWR-R02DN - 34-36,Sony - MIC 1,,
05.ST.54.FLOOR.E.SRC NEWS,,Sony - DWR-R02DN - 34-36,Sony - MIC 5,,
05.ST.54.FLOOR.E.SRC NEWS,,Sennheiser - EM 2000 - Aw,Sennheiser - MIC 2,,
05.ST.54.FLOOR.E.SRC NEWS,,Sennheiser - EM 2000 - Aw,Sennheiser - MIC 3,,
05.ST.54.FLOOR.E.SRC NEWS,,Sennheiser - EM 2000 - Aw,Sennheiser - MIC 4,,
05.ST.54.FLOOR.E.SRC NEWS,,Sennheiser - SR 2000 - Gw,Sennheiser - IEM 3,,
05.ST.54.FLOOR.E.SRC NEWS,,Sennheiser - SR 2000 - Gw,Sennheiser - IEM 4,,
05.ST.54.FLOOR.E.SRC NEWS,,Sennheiser - SR 2000 - Gw,Sennheiser - IEM 5,,
05.ST.54.FLOOR.E.SRC NEWS,,Sennheiser - SR 2000 - Bw,Sennheiser - IEM 1,,
05.ST.54.FLOOR.E.SRC NEWS,,Sennheiser - SR 2000 - Bw,Sennheiser - IEM 2,,
09.CONF.DIGITAL SERVICES,,Shure - BLX4 - H10,Shure,,
09.CONF.DIGITAL SERVICES,,Shure - BLX4 - H9,Shure,,
09.CONF.DIGITAL SERVICES,,Shure - BLX4 - H9,Shure,,
04.ST.55.FLOOR.D.NATIONAL,,Sennheiser - EM 3732-II - L,Sennheiser - RF 3,,
04.ST.55.FLOOR.D.NATIONAL,,Sennheiser - EM 3732-II - L,Sennheiser - RF 4,,
04.ST.55.FLOOR.D.NATIONAL,,Sennheiser - EM 3732 - C,Sennheiser - RF 1,,
04.ST.55.FLOOR.D.NATIONAL,,Sennheiser - EM 3732 - C,Sennheiser - RF 2,,
04.ST.55.FLOOR.D.NATIONAL,,Sennheiser - EM 3732 - C,Sennheiser - RF 5,,
04.ST.55.FLOOR.D.NATIONAL,,Sennheiser - EM 3732 - C,Sennheiser - RF 6,,
00.TechStores,,Sony - DWR-R02D - 42-45,Sony Rental 1,,
00.TechStores,,Sony - DWR-R02D - 42-45,Sony Rental 2,,
00.TechStores,,Sony - DWR-R02D - 42-45,Sony Rental 3,,
00.TechStores,,Sony - DWR-R02D - 42-45,Sony Rental 4,,
10.ST.41.ROGERS.IFB.J8E,10.Rogers 2020,Shure - PSM1000 - J8E,IFB-23,,
10.ST.41.ROGERS.IFB.J8E,10.Rogers 2020,Shure - PSM1000 - J8E,IFB-24,,
10.ST.41.ROGERS.IFB.J8E,10.Rogers 2020,Shure - PSM1000 - J8E,IFB-22,,
10.ST.41.ROGERS.IFB.J8E,10.Rogers 2020,None - None - J8E,,,
10.ST.41.ROGERS.MICS.20,10.Rogers 2020,Shure - AD4D-A - G57,R-MC-27,,
10.ST.41.ROGERS.MICS.20,10.Rogers 2020,Shure - AD4D-A - G57,R-MC-28,,
10.ST.41.ROGERS.MICS.20,10.Rogers 2020,Shure - AD4D-A - G57,R-MC-25,,
10.ST.41.ROGERS.MICS.20,10.Rogers 2020,Shure - AD4D-A - G57,R-MC-26,,
10.ST.41.ROGERS.MICS.20,10.Rogers 2020,Shure - AD4D-A - G57,R-MC-23,,
10.ST.41.ROGERS.MICS.20,10.Rogers 2020,Shure - AD4D-A - G57,R-MC-24,,
10.ST.41.ROGERS.MICS.20,10.Rogers 2020,Shure - AD4D-A - G57,R-MC-22,,
10.ST.41.ROGERS.MICS.20,10.Rogers 2020,Shure - AD4D-A - G57,R-MC-19,,
10.ST.41.ROGERS.MICS.20,10.Rogers 2020,Shure - AD4D-A - G57,R-MC-20,,
10.ST.41.ROGERS.MICS.20,10.Rogers 2020,Shure - AD4D-A - G57,R-MC-17,,
10.ST.41.ROGERS.MICS.20,10.Rogers 2020,Shure - AD4D-A - G57,R-MC-18,,
10.ST.41.ROGERS.MICS.20,10.Rogers 2020,Shure - AD4D-A - G57,R-MC-15,,
10.ST.41.ROGERS.MICS.20,10.Rogers 2020,Shure - AD4D-A - G57,R-MC-16,,
10.ST.41.ROGERS.MICS.20,10.Rogers 2020,None - None - G57,,,
10.ST.41.ROGERS.MICS.20,10.Rogers 2020,Shure - AD4D-A - G57,R-MC-14,,
10.ST.41.ROGERS.MICS.20,10.Rogers 2020,Shure - AD4D-A - G57,R-MC-11,,
10.ST.41.ROGERS.MICS.20,10.Rogers 2020,Shure - AD4D-A - G57,R-MC-12,,
10.ST.41.ROGERS.MICS.20,10.Rogers 2020,Shure - AD4D-A - G57,R-MC-09,,
10.ST.41.ROGERS.MICS.20,10.Rogers 2020,Shure - AD4D-A - G57,R-MC-10,,
10.ST.41.ROGERS.MICS.20,10.Rogers 2020,Shure - AD4D-A - G57,R-MC-07,,
10.ST.41.ROGERS.MICS.20,10.Rogers 2020,Shure - AD4D-A - G57,R-MC-08,,
10.ST.41.ROGERS.MICS.20,10.Rogers 2020,Shure - AD4D-A - G57,R-MC-05,,
10.ST.41.ROGERS.MICS.20,10.Rogers 2020,Shure - AD4D-A - G57,R-MC-06,,
10.ST.41.ROGERS.MICS.20,10.Rogers 2020,Shure - AD4D-A - G57,R-MC-03,,
10.ST.41.ROGERS.MICS.20,10.Rogers 2020,Shure - AD4D-A - G57,R-MC-04,,
10.ST.41.ROGERS.MICS.20,10.Rogers 2020,Shure - AD4D-A - G57,R-MC-01,,
10.ST.41.ROGERS.MICS.20,10.Rogers 2020,Shure - AD4D-A - G57,R-MC-02,,
06.ST.38.WEATHER CENTER,06.WeatherStudi,Sennheiser - EM 3732-II - L,Sennheiser,,
00.TechStores,,None - None - A1A4,,,
00.TechStores,,Sennheiser - EM6000 - A1A4,Sennheiser 4,,
00.TechStores,,None - None - A1A4,,,
00.TechStores,,Sennheiser - EM6000 - A1A4,Sennheiser 3,,
00.TechStores,,Sennheiser - EM6000 - A1A4,Sennheiser 1,,
00.TechStores,,Sennheiser - EM6000 - A1A4,Sennheiser 2,,
10.SYS.1.GOULD MICS,,Sennheiser - EM 3732-II - L,Sennheiser SYS 2 - MIC 01,,
10.SYS.1.GOULD MICS,,Sennheiser - EM 3732-II - L,Sennheiser SYS 2 - MIC 02,,
10.SYS.1.GOULD MICS,,Sennheiser - EM 3732-II - L,Sennheiser SYS 2 - MIC 03,,
10.SYS.1.GOULD MICS,,Sennheiser - EM 3732-II - L,Sennheiser SYS 2 - MIC 04,,
10.SYS.1.GOULD MICS,,Sennheiser - EM 3732-II - L,Sennheiser SYS 2 - MIC 05,,
10.SYS.1.GOULD MICS,,Sennheiser - EM 3732-II - L,Sennheiser SYS 2 - MIC 06,,
10.SYS.1.GOULD MICS,,Sennheiser - EM 3732-II - L,Sennheiser SYS 2 - MIC 07,,
10.SYS.1.GOULD MICS,,Sennheiser - EM 3732-II - L,Sennheiser SYS 2 - MIC 09,,
10.SYS.1.GOULD MICS,,Sennheiser - EM 3732-II - L,Sennheiser SYS 2 - MIC 08,,
10.SYS.1.GOULD MICS,,None - None - L,,,
10 CBC AXIENT MICS,,Shure - PSM1000 - G10,IFB 3,,
10 CBC AXIENT MICS,,Shure - PSM1000 - G10,IFB 4,,
10 CBC AXIENT MICS,,None - None - G10,,,
10 CBC AXIENT MICS,,Shure - PSM1000 - G10,IFB 1,,
10.SYS.2 SENN.MOBILE MICS,,Sennheiser - EM 3732-II - L,Sennheiser SYS 1 - MIC 02,,
10.SYS.2 SENN.MOBILE MICS,,Sennheiser - EM 3732-II - L,Sennheiser SYS 1 - MIC 03,,
10.SYS.2 SENN.MOBILE MICS,,Sennheiser - EM 3732-II - L,Sennheiser SYS 1 - MIC 04,,
10.SYS.2 SENN.MOBILE MICS,,Sennheiser - EM 3732-II - L,Sennheiser SYS 1 - MIC 05,,
10.SYS.2 SENN.MOBILE MICS,,Sennheiser - EM 3732-II - L,Sennheiser SYS 1 - MIC 06,,
10.SYS.2 SENN.MOBILE MICS,,Sennheiser - EM 3732-II - L,Sennheiser SYS 1 - MIC 07,,
10.SYS.2 SENN.MOBILE MICS,,Sennheiser - EM 3732-II - L,Sennheiser SYS 1 - MIC 08,,
10.SYS.2 SENN.MOBILE MICS,,Sennheiser - EM 3732-II - L,Sennheiser SYS 1 - MIC 09,,
10.SYS.2 SENN.MOBILE MICS,,Sennheiser - EM 3732-II - L,Sennheiser SYS 1 - MIC 10,,
10.SYS.2 SENN.MOBILE MICS,,Sennheiser - EM 3732-II - L,Sennheiser SYS 1 - MIC 01,,
10.SYS.1.GOULD MICS,,Sennheiser - SR 2050 - Bw,Sennheiser - IEM - 1,,
10.SYS.1.GOULD MICS,,Sennheiser - SR 2050 - Bw,Sennheiser - IEM - 2,,
10.SYS.1.GOULD MICS,,Sennheiser - SR 2050 - Bw,Sennheiser - IEM - 3,,
10.SYS.1.GOULD MICS,,Sennheiser - SR 2050 - Bw,Sennheiser - IEM - 4,,
10 CBC AXIENT MICS,,Shure - AD4Q-A - G57,LAV 4,,
10 CBC AXIENT MICS,,Shure - AD4Q-A - G57,STICK 5,,
10 CBC AXIENT MICS,,Shure - AD4Q-A - G57,LAV 1,,
10 CBC AXIENT MICS,,Shure - AD4Q-A - G57,STICK 6,,
10 CBC AXIENT MICS,,Shure - AD4Q-A - G57,STICK 7,,
10 CBC AXIENT MICS,,Shure - AD4Q-A - G57,LAV 5,,
10 CBC AXIENT MICS,,Shure - AD4Q-A - G57,LAV 3,,
10 CBC AXIENT MICS,,Shure - AD4Q-A - G57,STICK 3,,
10 CBC AXIENT MICS,,Shure - AD4Q-A - G57,LAV 2,,
10 CBC AXIENT MICS,,Shure - AD4Q-A - G57,STICK 1,,
10 CBC AXIENT MICS,,Shure - AD4Q-A - G57,STICK 4,,
10 CBC AXIENT MICS,,Shure - AD4Q-A - G57,STICK 2,,
10 CBC AXIENT MICS,,Shure - AD4Q-A - G57,Shure,,
10 CBC AXIENT MICS,,Shure - AD4Q-A - G57,Shure,,
10 CBC AXIENT MICS,,Shure - AD4Q-A - G57,Shure,,
10 CBC AXIENT MICS,,Shure - AD4Q-A - G57,Shure,,
10 CBC AXIENT MICS,,Shure - AD4Q-A - G57,Shure,,
10 CBC AXIENT MICS,,Shure - AD4Q-A - G57,Shure,,
10 CBC AXIENT MICS,,Shure - AD4Q-A - G57,Shure,,
10 CBC AXIENT MICS,,Shure - AD4Q-A - G57,Shure,,
10 CBC AXIENT MICS,,Shure - AD4Q-A - G57,Shure,,
10 CBC AXIENT MICS,,Shure - AD4Q-A - G57,Shure,,
10 CBC AXIENT MICS,,Shure - AD4Q-A - G57,Shure,,
10 CBC AXIENT MICS,,Shure - AD4Q-A - G57,Shure,,
10 CBC AXIENT MICS,,Shure - PSM1000 - G10,Shure,,
10 CBC AXIENT MICS,,Shure - PSM1000 - G10,Shure,,
10 CBC AXIENT MICS,,Shure - PSM1000 - G10,Shure,,
10 CBC AXIENT MICS,,Shure - PSM1000 - G10,Shure,,
10 CBC AXIENT MICS,,Shure - PSM1000 - G10,Shure,,
00.TechStores,,Sennheiser - EM 9046 - A1,Sennheiser 1,,
00.TechStores,,Sennheiser - EM 9046 - A1,Sennheiser 2,,
00.TechStores,,Sennheiser - EM 9046 - A1,Sennheiser 3,,
00.TechStores,,Sennheiser - EM 9046 - A1,Sennheiser 4,,
00.TechStores,,Sennheiser - EM 9046 - A1,Sennheiser 5,,
00.TechStores,,Sennheiser - EM 9046 - A1,Sennheiser 6,,
00.TechStores,,Sennheiser - EM 9046 - A1,Sennheiser 7,,
00.TechStores,,Sennheiser - EM 9046 - A1,Sennheiser 8,,
01.STUDIO.ATRIUM,,Sennheiser - EM 2050 - Gw,Sennheiser IFB 2,,
01.STUDIO.ATRIUM,,Sennheiser - EM 2050 - Gw,Sennheiser IFB 3,,
01.STUDIO.ATRIUM,,Sennheiser - EM 2050 - Gw,Sennheiser IFB 4,,
01.STUDIO.ATRIUM,,Shure - AD4D-A - Gw,R-MC-17,,
01.STUDIO.ATRIUM,,Sennheiser - EM 2050 - Gw,Sennheiser IFB 6,,
01.STUDIO.ATRIUM,,None - None - Gw,,,
01.STUDIO.ATRIUM,,None - None - Gw,,,
01.STUDIO.ATRIUM,,Sennheiser - EM 2050 - Gw,Sennheiser IFB 1,,
01.STUDIO.ATRIUM,,Sennheiser - EM 9046 - A1,Sennheiser 1,,
01.STUDIO.ATRIUM,,Sennheiser - EM 9046 - A1,Sennheiser 2,,
01.STUDIO.ATRIUM,,Sennheiser - EM 9046 - A1,Sennheiser 3,,
01.STUDIO.ATRIUM,,Sennheiser - EM 9046 - A1,Sennheiser 4,,
01.STUDIO.ATRIUM,,Sennheiser - EM 9046 - A1,Sennheiser 5,,
01.STUDIO.ATRIUM,,Sennheiser - EM 9046 - A1,Sennheiser 6,,
01.STUDIO.ATRIUM,,Sennheiser - EM 9046 - A1,Sennheiser 7,,
01.STUDIO.ATRIUM,,Sennheiser - EM 9046 - A1,Sennheiser 8,,
